Setup title,"C-V Sweep_Device3_W2_100K"
-0.39,1.56352E-10
-0.4,1.5631E-10
-0.41,1.56687E-10
-0.42,1.57522E-10
-0.43,1.59029E-10
-0.44,1.60035E-10
-0.45,1.62739E-10
-0.46,1.64037E-10
-0.47,1.66816E-10
-0.48,1.69743E-10
-0.49,1.73266E-10
-0.5,1.74946E-10
-0.51,1.78456E-10
-0.52,1.80961E-10
-0.53,1.83436E-10
-0.54,1.87089E-10
-0.55,1.88576E-10
-0.56,1.91943E-10
-0.57,1.93833E-10
-0.58,1.9591E-10
-0.59,1.98822E-10
-0.6,1.99824E-10
-0.61,2.02273E-10
-0.62,2.03685E-10
-0.63,2.05204E-10
-0.64,2.06649E-10
-0.65,2.0795E-10
-0.66,2.09567E-10
-0.67,2.10563E-10
-0.68,2.11626E-10
-0.69,2.13017E-10
-0.7,2.13661E-10
-0.71,2.14742E-10
-0.72,2.15658E-10
-0.73,2.16327E-10
-0.74,2.17244E-10
-0.75,2.17788E-10
-0.76,2.1871E-10
-0.77,2.1905E-10
-0.78,2.19715E-10
-0.79,2.20314E-10
-0.8,2.21044E-10
-0.81,2.21453E-10
-0.82,2.22016E-10
-0.83,2.22561E-10
-0.84,2.22927E-10
-0.85,2.23396E-10
-0.86,2.23771E-10
-0.87,2.24337E-10
-0.88,2.24742E-10
-0.89,2.25209E-10
-0.9,2.25399E-10
-0.91,2.25883E-10
-0.92,2.25906E-10
-0.93,2.26338E-10
-0.94,2.26627E-10
-0.95,2.26787E-10
-0.96,2.27242E-10
-0.97,2.275E-10
-0.98,2.27876E-10
-0.99,2.27936E-10
-1,2.28248E-10
-1.01,2.28256E-10
-1.02,2.28434E-10
-1.03,2.28765E-10
-1.04,2.28997E-10
-1.05,2.29318E-10
-1.06,2.29596E-10
-1.07,2.29738E-10
-1.08,2.30013E-10
-1.09,2.30082E-10
-1.1,2.30362E-10
-1.11,2.30444E-10
-1.12,2.30574E-10
-1.13,2.30894E-10
-1.14,2.30865E-10
-1.15,2.3109E-10
-1.16,2.31349E-10
-1.17,2.31362E-10
-1.18,2.31556E-10
-1.19,2.31581E-10
-1.2,2.31839E-10
-1.21,2.31892E-10
-1.22,2.31969E-10
-1.23,2.32205E-10
-1.24,2.32226E-10
-1.25,2.32547E-10
-1.26,2.3268E-10
-1.27,2.32557E-10
-1.28,2.32722E-10
-1.29,2.32726E-10
-1.3,2.32989E-10
-1.31,2.33017E-10
-1.32,2.33181E-10
-1.33,2.33357E-10
-1.34,2.33264E-10
-1.35,2.33539E-10
-1.36,2.33546E-10
-1.37,2.33523E-10
-1.38,2.33732E-10
-1.39,2.33699E-10
-1.4,2.33941E-10
-1.41,2.34066E-10
-1.42,2.33764E-10
-1.43,2.34073E-10
-1.44,2.34312E-10
-1.45,2.34344E-10
-1.46,2.34412E-10
-1.47,2.34515E-10
-1.48,2.34494E-10
-1.49,2.3453E-10
-1.5,2.34681E-10
-1.51,2.34901E-10
-1.52,2.34742E-10
-1.53,2.34835E-10
-1.54,2.34858E-10
-1.55,2.35004E-10
-1.56,2.35013E-10
-1.57,2.35126E-10
-1.58,2.3522E-10
-1.59,2.35345E-10
-1.6,2.35338E-10
-1.61,2.35383E-10
-1.62,2.35312E-10
-1.63,2.35423E-10
-1.64,2.35359E-10
-1.65,2.35544E-10
-1.66,2.35585E-10
-1.67,2.3562E-10
-1.68,2.35704E-10
-1.69,2.35802E-10
-1.7,2.36057E-10
-1.71,2.35877E-10
-1.72,2.3607E-10
-1.73,2.35949E-10
-1.74,2.36039E-10
-1.75,2.36226E-10
-1.76,2.3623E-10
-1.77,2.3627E-10
-1.78,2.36175E-10
-1.79,2.36291E-10
-1.8,2.36482E-10
-1.81,2.36326E-10
-1.82,2.36481E-10
-1.83,2.3646E-10
-1.84,2.3634E-10
-1.85,2.36458E-10
-1.86,2.36503E-10
-1.87,2.36533E-10
-1.88,2.36601E-10
-1.89,2.36592E-10
-1.9,2.36764E-10
-1.91,2.36804E-10
-1.92,2.36741E-10
-1.93,2.36809E-10
-1.94,2.36957E-10
-1.95,2.37027E-10
-1.96,2.36965E-10
-1.97,2.3696E-10
-1.98,2.36972E-10
-1.99,2.37063E-10
-2,2.3699E-10
-2.01,2.37175E-10
-2.02,2.37099E-10
-2.03,2.37129E-10
-2.04,2.37192E-10
-2.05,2.37331E-10
-2.06,2.37135E-10
-2.07,2.37281E-10
-2.08,2.37144E-10
-2.09,2.37249E-10
-2.1,2.37365E-10
-2.11,2.37263E-10
-2.12,2.37351E-10
-2.13,2.37359E-10
-2.14,2.37562E-10
-2.15,2.37661E-10
-2.16,2.37635E-10
-2.17,2.37518E-10
-2.18,2.37649E-10
-2.19,2.37696E-10
-2.2,2.37702E-10
-2.21,2.37574E-10
-2.22,2.37567E-10
-2.23,2.37738E-10
-2.24,2.3777E-10
-2.25,2.37651E-10
-2.26,2.37618E-10
-2.27,2.37719E-10
-2.28,2.37779E-10
-2.29,2.37937E-10
-2.3,2.37652E-10
-2.31,2.37861E-10
-2.32,2.38001E-10
-2.33,2.379E-10
-2.34,2.38013E-10
-2.35,2.37973E-10
-2.36,2.3806E-10
-2.37,2.38237E-10
-2.38,2.37891E-10
-2.39,2.38031E-10
-2.4,2.38243E-10
-2.41,2.38208E-10
-2.42,2.38207E-10
-2.43,2.38067E-10
-2.44,2.38222E-10
-2.45,2.38172E-10
-2.46,2.38192E-10
-2.47,2.38356E-10
-2.48,2.38203E-10
-2.49,2.38353E-10
-2.5,2.38303E-10
-2.51,2.38236E-10
-2.52,2.38263E-10
-2.53,2.38369E-10
-2.54,2.3848E-10
-2.55,2.38428E-10
-2.56,2.38467E-10
-2.57,2.38274E-10
-2.58,2.38476E-10
-2.59,2.38569E-10
-2.6,2.38459E-10
-2.61,2.38606E-10
-2.62,2.38607E-10
-2.63,2.38651E-10
-2.64,2.38495E-10
-2.65,2.38582E-10
-2.66,2.38715E-10
-2.67,2.38568E-10
-2.68,2.38809E-10
-2.69,2.38519E-10
-2.7,2.38717E-10
-2.71,2.38758E-10
-2.72,2.38803E-10
-2.73,2.38781E-10
-2.74,2.38793E-10
-2.75,2.38794E-10
-2.76,2.38703E-10
-2.77,2.38883E-10
-2.78,2.38929E-10
-2.79,2.38742E-10
-2.8,2.38814E-10
-2.81,2.38842E-10
-2.82,2.3881E-10
-2.83,2.38936E-10
-2.84,2.38752E-10
-2.85,2.38956E-10
-2.86,2.38915E-10
-2.87,2.3886E-10
-2.88,2.38892E-10
-2.89,2.38916E-10
-2.9,2.38997E-10
-2.91,2.39059E-10
-2.92,2.39022E-10
-2.93,2.39202E-10
-2.94,2.38897E-10
-2.95,2.38925E-10
-2.96,2.38883E-10
-2.97,2.39093E-10
-2.98,2.39103E-10
-2.99,2.39248E-10
-3,2.39063E-10
