Setup title,"C-V Sweep(1k,1M)"
0.17,1.27697E-09
0.18,1.28253E-09
0.19,1.28775E-09
0.2,1.29278E-09
0.21,1.29735E-09
0.22,1.30181E-09
0.23,1.30541E-09
0.24,1.30929E-09
0.25,1.31236E-09
0.26,1.31563E-09
0.27,1.31828E-09
0.28,1.3213E-09
0.29,1.32377E-09
0.3,1.32608E-09
0.31,1.32832E-09
0.32,1.33023E-09
0.33,1.33226E-09
0.34,1.33392E-09
0.35,1.3357E-09
0.36,1.33722E-09
0.37,1.33859E-09
0.38,1.34022E-09
0.39,1.34135E-09
0.4,1.34262E-09
0.41,1.34337E-09
0.42,1.34492E-09
0.43,1.34605E-09
0.44,1.34693E-09
0.45,1.34806E-09
0.46,1.34869E-09
0.47,1.34949E-09
0.48,1.35026E-09
0.49,1.35108E-09
0.5,1.35205E-09
0.51,1.3523E-09
0.52,1.35284E-09
0.53,1.35352E-09
0.54,1.35407E-09
0.55,1.35462E-09
0.56,1.35521E-09
0.57,1.35583E-09
0.58,1.35638E-09
0.59,1.35647E-09
0.6,1.35678E-09
0.61,1.35792E-09
0.62,1.35798E-09
0.63,1.35804E-09
0.64,1.35894E-09
0.65,1.35908E-09
0.66,1.35942E-09
0.67,1.35992E-09
0.68,1.35999E-09
0.69,1.36042E-09
0.7,1.36077E-09
0.71,1.36085E-09
0.72,1.36122E-09
0.73,1.36144E-09
0.74,1.36182E-09
0.75,1.36199E-09
0.76,1.36202E-09
0.77,1.36226E-09
0.78,1.36261E-09
0.79,1.36292E-09
0.8,1.36299E-09
0.81,1.36336E-09
0.82,1.36377E-09
0.83,1.36387E-09
0.84,1.36388E-09
0.85,1.36413E-09
0.86,1.36425E-09
0.87,1.36438E-09
0.88,1.36466E-09
0.89,1.3646E-09
0.9,1.36488E-09
0.91,1.36481E-09
0.92,1.36496E-09
0.93,1.36543E-09
0.94,1.36531E-09
0.95,1.36555E-09
0.96,1.36523E-09
0.97,1.3658E-09
0.98,1.36587E-09
0.99,1.36584E-09
1,1.36592E-09
1.01,1.36622E-09
1.02,1.36619E-09
1.03,1.36621E-09
1.04,1.36642E-09
1.05,1.36667E-09
1.06,1.36672E-09
1.07,1.3669E-09
1.08,1.36671E-09
1.09,1.36674E-09
1.1,1.36685E-09
1.11,1.36698E-09
1.12,1.36698E-09
1.13,1.3673E-09
1.14,1.36729E-09
1.15,1.36757E-09
1.16,1.36714E-09
1.17,1.36738E-09
1.18,1.36768E-09
1.19,1.36735E-09
1.2,1.36771E-09
1.21,1.36785E-09
1.22,1.36763E-09
1.23,1.36757E-09
1.24,1.3679E-09
1.25,1.36808E-09
1.26,1.36815E-09
1.27,1.3682E-09
1.28,1.36831E-09
1.29,1.36859E-09
1.3,1.36816E-09
1.31,1.36844E-09
1.32,1.36874E-09
1.33,1.36829E-09
1.34,1.36843E-09
1.35,1.36861E-09
1.36,1.36904E-09
1.37,1.36847E-09
1.38,1.36843E-09
1.39,1.36872E-09
1.4,1.36849E-09
1.41,1.36855E-09
1.42,1.36908E-09
1.43,1.36899E-09
1.44,1.36893E-09
1.45,1.36915E-09
1.46,1.36871E-09
1.47,1.36882E-09
1.48,1.3691E-09
1.49,1.36932E-09
1.5,1.36893E-09
1.51,1.36911E-09
1.52,1.36933E-09
1.53,1.36922E-09
1.54,1.3693E-09
1.55,1.36931E-09
1.56,1.36923E-09
1.57,1.36954E-09
1.58,1.36961E-09
1.59,1.36949E-09
1.6,1.36948E-09
1.61,1.36948E-09
1.62,1.36955E-09
1.63,1.36964E-09
1.64,1.36956E-09
1.65,1.36967E-09
1.66,1.36977E-09
1.67,1.36965E-09
1.68,1.36976E-09
1.69,1.36973E-09
1.7,1.36981E-09
1.71,1.36981E-09
1.72,1.36972E-09
1.73,1.36976E-09
1.74,1.36995E-09
1.75,1.37001E-09
1.76,1.37027E-09
1.77,1.3701E-09
1.78,1.37018E-09
1.79,1.36978E-09
1.8,1.37004E-09
1.81,1.37039E-09
1.82,1.37005E-09
1.83,1.37025E-09
1.84,1.36984E-09
1.85,1.37014E-09
1.86,1.37009E-09
1.87,1.37021E-09
1.88,1.37006E-09
1.89,1.36996E-09
1.9,1.37011E-09
1.91,1.37034E-09
1.92,1.37061E-09
1.93,1.3703E-09
1.94,1.37045E-09
1.95,1.37039E-09
1.96,1.37026E-09
1.97,1.37059E-09
1.98,1.37066E-09
1.99,1.37032E-09
2,1.37061E-09
2.01,1.37042E-09
2.02,1.37072E-09
2.03,1.37039E-09
2.04,1.37066E-09
2.05,1.37064E-09
2.06,1.371E-09
2.07,1.37049E-09
2.08,1.37066E-09
2.09,1.37055E-09
2.1,1.37078E-09
2.11,1.37073E-09
2.12,1.37111E-09
2.13,1.37072E-09
2.14,1.37106E-09
2.15,1.37095E-09
2.16,1.37077E-09
2.17,1.37095E-09
2.18,1.37088E-09
2.19,1.37066E-09
2.2,1.37086E-09
2.21,1.37124E-09
2.22,1.37091E-09
2.23,1.37085E-09
2.24,1.3709E-09
2.25,1.37081E-09
2.26,1.37076E-09
2.27,1.371E-09
2.28,1.37084E-09
2.29,1.37117E-09
2.3,1.37089E-09
2.31,1.37112E-09
2.32,1.37121E-09
2.33,1.37104E-09
2.34,1.37093E-09
2.35,1.37103E-09
2.36,1.37096E-09
2.37,1.37092E-09
2.38,1.37071E-09
2.39,1.37089E-09
2.4,1.37115E-09
2.41,1.37115E-09
2.42,1.3711E-09
2.43,1.37093E-09
2.44,1.37117E-09
2.45,1.37098E-09
2.46,1.37106E-09
2.47,1.37097E-09
2.48,1.37095E-09
2.49,1.3709E-09
2.5,1.371E-09
2.51,1.37113E-09
2.52,1.37093E-09
2.53,1.37144E-09
2.54,1.37128E-09
2.55,1.37102E-09
2.56,1.37123E-09
2.57,1.37109E-09
2.58,1.37121E-09
2.59,1.37145E-09
2.6,1.37135E-09
2.61,1.3713E-09
2.62,1.37146E-09
2.63,1.37159E-09
2.64,1.37138E-09
2.65,1.37132E-09
2.66,1.37144E-09
2.67,1.37146E-09
2.68,1.37149E-09
2.69,1.3715E-09
2.7,1.37144E-09
2.71,1.37144E-09
2.72,1.3713E-09
2.73,1.37124E-09
2.74,1.37147E-09
2.75,1.37128E-09
2.76,1.37157E-09
2.77,1.37132E-09
2.78,1.37132E-09
2.79,1.37154E-09
2.8,1.37163E-09
2.81,1.37156E-09
2.82,1.37118E-09
2.83,1.37146E-09
2.84,1.3716E-09
2.85,1.37149E-09
2.86,1.37151E-09
2.87,1.37151E-09
2.88,1.37165E-09
2.89,1.3716E-09
2.9,1.37164E-09
2.91,1.37157E-09
2.92,1.37168E-09
2.93,1.37139E-09
2.94,1.37169E-09
2.95,1.37173E-09
2.96,1.37162E-09
2.97,1.3718E-09
2.98,1.37147E-09
2.99,1.37159E-09
3,1.37124E-09
