Setup title,C-v_3V_10s_dark
1.52,4.17895E-10
1.51,4.17333E-10
1.5,4.18667E-10
1.49,4.18194E-10
1.48,4.18069E-10
1.47,4.1784E-10
1.46,4.18414E-10
1.45,4.18199E-10
1.44,4.17328E-10
1.43,4.17484E-10
1.42,4.18087E-10
1.41,4.17985E-10
1.4,4.17333E-10
1.39,4.17868E-10
1.38,4.17549E-10
1.37,4.1772E-10
1.36,4.1894E-10
1.35,4.18027E-10
1.34,4.18212E-10
1.33,4.17696E-10
1.32,4.17433E-10
1.31,4.17179E-10
1.3,4.16971E-10
1.29,4.17005E-10
1.28,4.18036E-10
1.27,4.1808E-10
1.26,4.18288E-10
1.25,4.17316E-10
1.24,4.16994E-10
1.23,4.17399E-10
1.22,4.17422E-10
1.21,4.17989E-10
1.2,4.16924E-10
1.19,4.16998E-10
1.18,4.1776E-10
1.17,4.1737E-10
1.16,4.17983E-10
1.15,4.17425E-10
1.14,4.17619E-10
1.13,4.17059E-10
1.12,4.17109E-10
1.11,4.17538E-10
1.1,4.16913E-10
1.09,4.17129E-10
1.08,4.16794E-10
1.07,4.17186E-10
1.06,4.17173E-10
1.05,4.17248E-10
1.04,4.17035E-10
1.03,4.16492E-10
1.02,4.16872E-10
1.01,4.16577E-10
1,4.16283E-10
0.99,4.15527E-10
0.98,4.14691E-10
0.97,4.15121E-10
0.96,4.14771E-10
0.95,4.14018E-10
0.94,4.14415E-10
0.93,4.13786E-10
0.92,4.14248E-10
0.91,4.13491E-10
0.9,4.14026E-10
0.89,4.12985E-10
0.88,4.13411E-10
0.87,4.13645E-10
0.86,4.13388E-10
0.85,4.13309E-10
0.84,4.13574E-10
0.83,4.13661E-10
0.82,4.12847E-10
0.81,4.13657E-10
0.8,4.13364E-10
0.79,4.13875E-10
0.78,4.13836E-10
0.77,4.13497E-10
0.76,4.13606E-10
0.75,4.12942E-10
0.74,4.13017E-10
0.73,4.13048E-10
0.72,4.13101E-10
0.71,4.13458E-10
0.7,4.13793E-10
0.69,4.12966E-10
0.68,4.12917E-10
0.67,4.12757E-10
0.66,4.1276E-10
0.65,4.12062E-10
0.64,4.12631E-10
0.63,4.12542E-10
0.62,4.13408E-10
0.61,4.12571E-10
0.6,4.12622E-10
0.59,4.13066E-10
0.58,4.12446E-10
0.57,4.13341E-10
0.56,4.12021E-10
0.55,4.11314E-10
0.54,4.12454E-10
0.53,4.12453E-10
0.52,4.12573E-10
0.51,4.12111E-10
0.5,4.11875E-10
0.49,4.11554E-10
0.48,4.12121E-10
0.47,4.11999E-10
0.46,4.1102E-10
0.45,4.11638E-10
0.44,4.10311E-10
0.43,4.11215E-10
0.42,4.10924E-10
0.41,4.10809E-10
0.4,4.10368E-10
0.39,4.1152E-10
0.38,4.11321E-10
0.37,4.10553E-10
0.36,4.10123E-10
0.35,4.10765E-10
0.34,4.09774E-10
0.33,4.1017E-10
0.32,4.10183E-10
0.31,4.09185E-10
0.3,4.10167E-10
0.29,4.0951E-10
0.28,4.08508E-10
0.27,4.08843E-10
0.26,4.08442E-10
0.25,4.08701E-10
0.24,4.08674E-10
0.23,4.08351E-10
0.22,4.07713E-10
0.21,4.07874E-10
0.2,4.07884E-10
0.19,4.07115E-10
0.18,4.07814E-10
0.17,4.07107E-10
0.16,4.06013E-10
0.15,4.07116E-10
0.14,4.06371E-10
0.13,4.06044E-10
0.12,4.05386E-10
0.11,4.04702E-10
0.1,4.04425E-10
0.09,4.04579E-10
0.08,4.04074E-10
0.07,4.03652E-10
0.06,4.03164E-10
0.05,4.02952E-10
0.04,4.02384E-10
0.03,4.02298E-10
0.02,4.01768E-10
0.01,4.01605E-10
0,4.01732E-10
-0.01,4.00144E-10
-0.02,3.99804E-10
-0.03,3.99969E-10
-0.04,3.99313E-10
-0.05,3.98353E-10
-0.06,3.97759E-10
-0.07,3.96695E-10
-0.08,3.95594E-10
-0.09,3.94988E-10
-0.1,3.9421E-10
-0.11,3.93131E-10
-0.12,3.91942E-10
-0.13,3.91743E-10
-0.14,3.91402E-10
-0.15,3.89386E-10
-0.16,3.88315E-10
-0.17,3.87594E-10
-0.18,3.69719E-10
-0.19,3.51335E-10
-0.2,3.36375E-10
-0.21,3.23297E-10
-0.22,3.12023E-10
-0.23,3.026E-10
-0.24,2.93155E-10
-0.25,2.86961E-10
-0.26,2.80005E-10
-0.27,2.74163E-10
-0.28,2.69286E-10
-0.29,2.64531E-10
-0.3,2.60729E-10
-0.31,2.56863E-10
-0.32,2.53156E-10
-0.33,2.49981E-10
-0.34,2.47843E-10
-0.35,2.44417E-10
-0.36,2.41853E-10
-0.37,2.38665E-10
-0.38,2.35988E-10
-0.39,2.33681E-10
-0.4,2.32205E-10
-0.41,2.29822E-10
-0.42,2.27573E-10
-0.43,2.25803E-10
-0.44,2.23996E-10
-0.45,2.22187E-10
-0.46,2.20524E-10
-0.47,2.19247E-10
-0.48,2.17077E-10
-0.49,2.17293E-10
-0.5,2.1719E-10
-0.51,2.16819E-10
-0.52,2.16037E-10
-0.53,2.16184E-10
-0.54,2.15252E-10
-0.55,2.1574E-10
-0.56,2.15358E-10
-0.57,2.146E-10
-0.58,2.13757E-10
-0.59,2.13815E-10
-0.6,2.12741E-10
-0.61,2.12288E-10
-0.62,2.11036E-10
-0.63,2.11283E-10
-0.64,2.1072E-10
-0.65,2.09558E-10
-0.66,2.09107E-10
-0.67,2.08176E-10
-0.68,2.08008E-10
-0.69,2.07199E-10
-0.7,2.06764E-10
-0.71,2.05801E-10
-0.72,2.05247E-10
-0.73,2.0473E-10
-0.74,2.03943E-10
-0.75,2.02669E-10
-0.76,2.02397E-10
-0.77,2.02282E-10
-0.78,2.01979E-10
-0.79,2.00559E-10
-0.8,1.99718E-10
-0.81,1.99065E-10
-0.82,1.98425E-10
-0.83,1.98021E-10
-0.84,1.97402E-10
-0.85,1.96469E-10
-0.86,1.95367E-10
-0.87,1.95496E-10
-0.88,1.94855E-10
-0.89,1.93837E-10
-0.9,1.93216E-10
-0.91,1.93388E-10
-0.92,1.92776E-10
-0.93,1.91365E-10
-0.94,1.91104E-10
-0.95,1.90829E-10
-0.96,1.90868E-10
-0.97,1.89692E-10
-0.98,1.9003E-10
-0.99,1.89228E-10
-1,1.88267E-10
-1.01,1.88137E-10
-1.02,1.88335E-10
-1.03,1.87119E-10
-1.04,1.86862E-10
-1.05,1.85679E-10
-1.06,1.83163E-10
-1.07,1.78019E-10
-1.08,1.76204E-10
-1.09,1.75724E-10
-1.1,1.74212E-10
-1.11,1.7464E-10
-1.12,1.75259E-10
-1.13,1.7564E-10
-1.14,1.75423E-10
-1.15,1.74853E-10
-1.16,1.76128E-10
-1.17,1.74146E-10
-1.18,1.72658E-10
-1.19,1.721E-10
-1.2,1.72657E-10
-1.21,1.73653E-10
-1.22,1.73448E-10
-1.23,1.73068E-10
-1.24,1.7312E-10
-1.25,1.71641E-10
-1.26,1.71585E-10
-1.27,1.7207E-10
-1.28,1.72888E-10
-1.29,1.72295E-10
-1.3,1.72306E-10
-1.31,1.73215E-10
-1.32,1.73215E-10
-1.33,1.72889E-10
-1.34,1.72663E-10
-1.35,1.73575E-10
-1.36,1.73639E-10
-1.37,1.73376E-10
-1.38,1.73118E-10
-1.39,1.73439E-10
-1.4,1.73896E-10
-1.41,1.73602E-10
-1.42,1.73089E-10
-1.43,1.73816E-10
-1.44,1.7307E-10
-1.45,1.73302E-10
-1.46,1.73223E-10
-1.47,1.73889E-10
-1.48,1.73141E-10
-1.49,1.72908E-10
-1.5,1.73503E-10
-1.51,1.73465E-10
-1.52,1.72891E-10
-1.53,1.71784E-10
-1.54,1.72546E-10
-1.55,1.72715E-10
-1.56,1.72663E-10
-1.57,1.72414E-10
-1.58,1.72247E-10
-1.59,1.72243E-10
-1.6,1.71712E-10
-1.61,1.72004E-10
-1.62,1.7246E-10
-1.63,1.72074E-10
-1.64,1.71451E-10
-1.65,1.70648E-10
-1.66,1.71267E-10
-1.67,1.71367E-10
-1.68,1.70775E-10
-1.69,1.70396E-10
-1.7,1.70404E-10
-1.71,1.70703E-10
-1.72,1.69737E-10
-1.73,1.69957E-10
-1.74,1.70139E-10
-1.75,1.6967E-10
-1.76,1.69127E-10
-1.77,1.69221E-10
-1.78,1.69424E-10
-1.79,1.69382E-10
-1.8,1.67994E-10
-1.81,1.68041E-10
-1.82,1.68696E-10
-1.83,1.67945E-10
-1.84,1.6769E-10
-1.85,1.68268E-10
-1.86,1.62209E-10
-1.87,1.59015E-10
-1.88,1.57536E-10
-1.89,1.56979E-10
-1.9,1.56502E-10
-1.91,1.55887E-10
-1.92,1.54924E-10
-1.93,1.54351E-10
-1.94,1.53908E-10
-1.95,1.54179E-10
-1.96,1.53788E-10
-1.97,1.53861E-10
-1.98,1.53146E-10
-1.99,1.53043E-10
-2,1.52507E-10
